"countrycode","year","timeperiod","logprivatecredit","inflation","logtrade","logschooling","growthingini","growthgdppercapita","loginitialgini","span","loginitialgdppercapita","growthlowestincomeshare","loginitiallowestincomeshare"
"BGD",1963,1,1.79769313486232e+308,11.59547996521,3.01366710662842,-0.187535107135773,-0.00357430009171367,-0.0241778995841742,3.61926198005676,10,7.01656293869018,0.00143890001345426,1.93151998519897
"BGD",1973,2,1.79769313486232e+308,31.8827590942383,2.87434506416321,0.247640997171402,-0.00466510001569986,0.023097800090909,3.58351898193359,5,6.77478408813476,0.0100299995392561,1.94590997695923
"BGD",1978,3,1.79769313486232e+308,14.0781898498535,3.06073594093323,0.640273690223694,0.00466510001569986,0.0284260995686054,3.56019306182861,5,6.89027309417725,-0.00439580017700791,1.99606001377106
"BGD",1983,4,1.79769313486232e+308,10.0322904586792,2.89966607093811,0.722220420837402,-0.0442817993462086,0.0125957001000643,3.58351898193359,5,7.03240299224854,0.0543867982923984,1.9740799665451
"BGD",1988,5,-1.88901698589325,5.42665386199951,3.05641603469849,0.788911819458008,0.0219011995941401,0.0279488991945982,3.36210989952087,7,7.09538221359253,-0.0116490004584193,2.24602007865906
"BGD",1995,6,-1.51034295558929,3.79749894142151,3.43957304954529,0.878381192684174,-0.011820400133729,0.0275665000081062,3.51541900634766,5,7.29102420806885,0.00655059982091188,2.16446995735168
"BOL",1968,1,-2.10660290718079,641.035095214844,3.91715288162231,1.53061103820801,-0.0105304997414351,-0.00125219998881221,3.97029209136963,22,7.82975101470947,0.0215258002281189,1.25276005268097
"BOL",1990,2,-1.07579505443573,12.1822099685669,3.87924194335938,1.61402702331543,0.0451987981796265,0.0133157996460795,3.73862099647522,5,7.80220317840576,-0.114562302827835,1.72633004188538
"BOL",1995,3,-0.608969807624817,7.22843885421753,3.88537502288818,1.66902697086334,0.000379100005375221,0.0082227997481823,3.96461606025696,5,7.86878204345703,0.00441059982404113,1.15351998806
"BRA",1960,1,1.79769313486232e+308,30.7854309082031,2.56379795074463,1.04837095737457,0.00834039971232414,0.0422952994704246,3.97029209136963,10,7.77125406265259,0,1.16314995288849
"BRA",1970,2,1.79769313486232e+308,27.9207000732422,2.84421396255493,1.09426999092102,0.00757839996367693,0.0717289969325066,4.0536961555481,6,8.19420719146728,-0.062448900192976,1.16314995288849
"BRA",1976,3,1.79769313486232e+308,64.3113098144531,2.83376502990723,1.13333594799042,-0.0168450996279716,0.0147861000150442,4.09916591644287,5,8.6245813369751,0.0685888975858688,0.78846001625061
"BRA",1981,4,1.79769313486232e+308,157.003799438477,2.92244911193848,1.24674499034882,-0.00327460002154112,0.0156145002692938,4.01494121551514,5,8.69851207733154,0,1.13139998912811
"BRA",1986,5,-1.34964799880981,1026.61999511719,2.79768991470337,1.39128196239471,0.0173259992152452,-0.00418400019407272,3.99856805801392,7,8.77658462524414,-0.0516134016215801,1.13139998912811
"BRA",1993,6,-1.10246205329895,723.971923828125,2.87823510169983,1.4929039478302,-0.00846240017563105,0.0134733002632856,4.11985015869141,5,8.74729633331299,0.0355361998081207,0.770110011100769
"BWA",1985,1,-2.31795597076416,12.8716497421265,4.65087795257568,1.28148901462555,-0.00063720002071932,0.0374205000698566,3.99286508560181,9,8.3226728439331,0.0440099984407425,1.28093004226685
