"country","year","logagedependency","countrycode","loginitialheadcount","loginitialpovertygap","growthinheadcount","growthinpovertygap","timespan","loginitialgini","growthinmeanincome","growthingdppercapita","logprivatecredit","logcommercialcentralbank","inflation","populationgrowth","logtrade","logschooling"
"Ecuador",1987,-0.225482806563377,"ECU",2.60268998146057,1.68082797527313,0.0141866998746991,0.0148082999512553,11,3.92177510261536,-0.00409920001402497,0.00503870006650686,-1.59583699703217,-0.3405542075634,4.68351602554321,2.06275391578674,4.05187702178955,1.77512204647064
"Egypt, Arab Rep.",1990,-0.203638106584549,"EGY",1.3787659406662,-0.634878277778626,-0.0278439000248909,-0.0232324004173279,9,3.465735912323,0.00374719989486039,0.0252312999218702,-1.24623000621796,-0.480444103479385,10.0537996292114,1.91740095615387,3.92556810379028,1.45020794868469
"El Salvador",1989,-0.177356600761414,"SLV",3.06105208396912,2.50143599510193,-0.00335059990175068,-0.0188381001353264,13,3.89100408554077,0.0152505999431014,0.0171147007495165,-1.30666697025299,-0.280377298593521,5.03569412231445,1.9792560338974,4.04349613189697,1.44738900661468
"Ethiopia",1981,-0.070150800049305,"ETH",3.48829197883606,2.03992104530334,-0.0186369996517897,-0.0245866999030113,19,3.47877597808838,0.00425300002098084,1.97000008483883e-05,-1.79990494251251,-0.603425979614258,6.39172506332398,2.6670880317688,3.38153910636902,1.79769313486232e+308
"Gambia, The",1992,-0.169995993375778,"GMB",3.98322701454163,3.14716506004334,-0.114133402705193,-0.157584294676781,6,3.86702609062195,0.12221360206604,-0.020550299435854,-1.89152598381042,-0.213152393698692,4.1825590133667,3.43729090690613,4.75145483016968,0.666803181171417
"Ghana",1987,-0.0804643034934998,"GHA",3.83966708183289,2.77633190155029,-0.0125561999157071,-0.00584449991583824,11,3.56529808044434,0.0192354004830122,0.00816710013896227,-2.81014490127563,-0.909675121307373,28.7110404968262,2.6540470123291,4.02937507629394,1.286749958992
"Guatemala",1987,-0.0486300997436047,"GTM",3.85099792480469,3.11218094825745,-0.0809390991926193,-0.09808299690485,15,4.06491613388062,0.0661178007721901,0.00777650019153953,-1.93050503730774,-0.222966507077217,12.6194200515747,2.29110097885132,3.76693391799927,1.11185801029205
"Guyana",1992,-0.397261202335358,"GUY",2.09679007530212,0.667829394340515,-0.167477801442146,-0.196442499756813,6,3.94255208969116,0.076929397881031,0.0724041014909744,-0.743602812290192,-0.568582773208618,9.92857074737549,0.228930801153183,5.42902708053589,1.79225897789001
"Honduras",1986,-0.0460865013301372,"HND",3.51868391036987,2.61520409584045,-0.0515329986810684,-0.0748435035347938,17,4.00896787643433,0.0345125012099743,-0.00442779995501041,-1.32891094684601,-0.219911798834801,13.5532398223877,2.77627396583557,4.38673305511475,1.43627405166626
"Hungary",1993,-0.718217015266418,"HUN",-1.66073095798492,-1.83258199691772,-0.0713170990347862,-0.108980998396873,9,3.33005905151367,-0.00505559984594584,0.0313538014888763,-1.20065701007843,-0.698621690273285,15.5101900100708,-0.205320507287979,4.70480585098267,2.17770195007324
